Ice,category,Product Name,Milk,Whip,Calories,Total Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Total Carbohydrates,Dietary Fiber,Sugar,Protein,Vitamin A,Vitamin C,Calcium,Iron,Caffeine
Ice,Tea,Iced Passion Tango Tea Lemonade,,,90,0,0,0,0,5,24,0,24,0.1,0 ,10 ,0 ,0 ,0
Ice,Tea,Peach Iced Green Tea,,,60,0.1,0,0,0,0,15,0,15,0,0 ,0 ,0 ,0 ,20-25
Ice,Tea,Peach Iced Green Tea Lemonade,,,100,0.1,0,0,0,0,25,0,24,0.1,0 ,10 ,0 ,0 ,20-25
Hot,Tea,Peach Tranquility Brewed Tea,,,0,0,0,0,0,0,0,0,0,0,0 ,0 ,0 ,0 ,0
Hot,Tea,Youthberry Brewed Tea,,,0,0,0,0,0,0,0,0,0,0,0 ,0 ,0 ,0 ,1--15
Ice,Starbucks Refreshers,Cool Lime Starbucks Refreshers™ Beverage,,,60,0,0,0,0,2,14,0,14,0.1,0 ,90 ,0 ,0 ,35-45
Ice,Starbucks Refreshers,Very Berry Hibiscus Starbucks Refreshers™ Beverage,,,70,0.1,0,0,0,2,18,1,15,0.1,0 ,90 ,0 ,2 ,35-45
Ice,Frappuccino Blended Coffee,Caffe Vanilla Frappuccino Blended Beverage,Nonfat,No Whip,200,0.1,0.1,0,0,150,47,0,46,3,4 ,0 ,8 ,0 ,65
Ice,Frappuccino Blended Coffee,Caffe Vanilla Frappuccino Blended Beverage,Nonfat,Whip,280,8,5,0.2,30,160,50,0,48,3,15 ,0 ,10 ,0 ,65
Ice,Frappuccino Blended Coffee,Caffe Vanilla Frappuccino Blended Beverage,2%,No Whip,210,1.5,1,0,5,160,47,0,46,3,4 ,0 ,8 ,0 ,65
Ice,Frappuccino Blended Coffee,Caffe Vanilla Frappuccino Blended Beverage,2%,Whip,290,10,6,0.3,35,170,50,0,48,3,15 ,0 ,10 ,0 ,65
Ice,Frappuccino Blended Coffee,Caffe Vanilla Frappuccino Blended Beverage,Whole,No Whip,220,2.5,1.5,0.1,10,150,47,0,46,3,4 ,0 ,8 ,0 ,65
Ice,Frappuccino Blended Coffee,Caffe Vanilla Frappuccino Blended Beverage,Whole,Whip,300,11,6,0.3,35,160,50,0,48,3,15 ,0 ,10 ,0 ,65
Ice,Frappuccino Blended Coffee,Caffe Vanilla Frappuccino Blended Beverage,Soy,No Whip,200,1.5,0.2,0,0,150,46,0,44,2,4 ,0 ,10 ,4 ,65
Ice,Frappuccino Blended Coffee,Caffe Vanilla Frappuccino Blended Beverage,Soy,Whip,290,9,5,0.2,30,160,48,0,46,3,10 ,0 ,10 ,4 ,65
Ice,Frappuccino Blended Coffee,Caffe Vanilla Frappuccino Blended Beverage,Coconut,No Whip,200,1.5,1.5,0,0,150,47,0,45,0.4,0 ,0 ,0 ,0 ,65
Ice,Frappuccino Blended Coffee,Caffe Vanilla Frappuccino Blended Beverage,Coconut,Whip,280,10,7,0.2,30,160,49,0,47,1,10 ,0 ,2 ,0 ,65
Ice,Frappuccino Blended Coffee,Caramel Frappuccino Blended Beverage,Nonfat,No Whip,180,0.1,0,0,0,160,42,0,42,3,4 ,0 ,10 ,0 ,70
Ice,Frappuccino Blended Coffee,Caramel Frappuccino Blended Beverage,Nonfat,Whip,280,9,5,0.2,35,180,47,0,47,3,15 ,0 ,10 ,0 ,70
Ice,Frappuccino Blended Coffee,Caramel Frappuccino Blended Beverage,2%,No Whip,190,1.5,1,0.1,5,170,42,0,42,3,4 ,0 ,10 ,0 ,70
Ice,Frappuccino Blended Coffee,Caramel Frappuccino Blended Beverage,2%,Whip,290,10,6,0.3,40,180,47,0,46,3,15 ,0 ,10 ,0 ,70
